snapshot_id,page,row,col,x,y,w,h,dark_ratio,figure_no_guess,file
235,65,1,1,12,204,436,969,0.108816,,diagram_snapshots/diagram_0235_p065_r1c1.png
236,65,1,2,460,204,433,969,0.087064,,diagram_snapshots/diagram_0236_p065_r1c2.png
237,66,1,1,79,186,325,75,0.093703,,diagram_snapshots/diagram_0237_p066_r1c1.png
238,66,1,2,416,186,254,75,0.207717,,diagram_snapshots/diagram_0238_p066_r1c2.png
239,66,2,1,79,273,325,323,0.116694,,diagram_snapshots/diagram_0239_p066_r2c1.png
240,66,2,2,416,273,254,323,0.112223,,diagram_snapshots/diagram_0240_p066_r2c2.png
241,66,3,1,79,608,325,256,0.15988,,diagram_snapshots/diagram_0241_p066_r3c1.png
242,66,3,2,416,608,254,256,0.14873,,diagram_snapshots/diagram_0242_p066_r3c2.png
243,66,4,1,79,876,325,334,0.200884,,diagram_snapshots/diagram_0243_p066_r4c1.png
244,66,4,2,416,876,254,334,0.234205,,diagram_snapshots/diagram_0244_p066_r4c2.png
245,67,1,1,6,200,898,72,0.052942,,diagram_snapshots/diagram_0245_p067_r1c1.png
246,67,2,1,6,284,898,901,0.066861,,diagram_snapshots/diagram_0246_p067_r2c1.png
247,69,1,1,10,199,890,976,0.134195,,diagram_snapshots/diagram_0247_p069_r1c1.png
248,70,1,1,64,178,171,76,0.138812,,diagram_snapshots/diagram_0248_p070_r1c1.png
249,70,1,3,292,178,214,76,0.150639,,diagram_snapshots/diagram_0249_p070_r1c3.png
250,70,1,5,564,178,89,76,0.193525,,diagram_snapshots/diagram_0250_p070_r1c5.png
251,70,1,6,665,178,150,76,0.110439,,diagram_snapshots/diagram_0251_p070_r1c6.png
252,70,1,7,827,178,156,76,0.096407,,diagram_snapshots/diagram_0252_p070_r1c7.png
253,70,2,1,64,266,171,326,0.175726,,diagram_snapshots/diagram_0253_p070_r2c1.png
254,70,2,3,292,266,214,326,0.206582,,diagram_snapshots/diagram_0254_p070_r2c3.png
255,70,2,5,564,266,89,326,0.149583,,diagram_snapshots/diagram_0255_p070_r2c5.png
256,70,2,6,665,266,150,326,0.14182,,diagram_snapshots/diagram_0256_p070_r2c6.png
257,70,2,7,827,266,156,326,0.121972,,diagram_snapshots/diagram_0257_p070_r2c7.png
258,70,3,1,64,604,171,245,0.143287,,diagram_snapshots/diagram_0258_p070_r3c1.png
259,70,3,3,292,604,214,245,0.116327,,diagram_snapshots/diagram_0259_p070_r3c3.png
260,70,3,5,564,604,89,245,0.091814,,diagram_snapshots/diagram_0260_p070_r3c5.png
261,70,3,6,665,604,150,245,0.156082,,diagram_snapshots/diagram_0261_p070_r3c6.png
262,70,3,7,827,604,156,245,0.186133,,diagram_snapshots/diagram_0262_p070_r3c7.png
263,70,4,1,64,861,171,331,0.220155,,diagram_snapshots/diagram_0263_p070_r4c1.png
264,70,4,3,292,861,214,331,0.160502,,diagram_snapshots/diagram_0264_p070_r4c3.png
265,70,4,5,564,861,89,331,0.194134,,diagram_snapshots/diagram_0265_p070_r4c5.png
266,70,4,6,665,861,150,331,0.404995,,diagram_snapshots/diagram_0266_p070_r4c6.png
267,70,4,7,827,861,156,331,0.406151,,diagram_snapshots/diagram_0267_p070_r4c7.png
268,71,1,1,21,187,896,991,0.083419,,diagram_snapshots/diagram_0268_p071_r1c1.png
269,73,1,1,22,208,879,958,0.131725,,diagram_snapshots/diagram_0269_p073_r1c1.png
270,74,1,1,77,186,318,82,0.185496,,diagram_snapshots/diagram_0270_p074_r1c1.png
271,74,1,2,407,186,263,82,0.203561,,diagram_snapshots/diagram_0271_p074_r1c2.png
272,74,1,3,682,186,298,82,0.104641,,diagram_snapshots/diagram_0272_p074_r1c3.png
273,74,2,1,77,280,318,310,0.226679,,diagram_snapshots/diagram_0273_p074_r2c1.png
274,74,2,2,407,280,263,310,0.123071,,diagram_snapshots/diagram_0274_p074_r2c2.png
275,74,2,3,682,280,298,310,0.143126,,diagram_snapshots/diagram_0275_p074_r2c3.png
276,74,3,1,77,602,318,259,0.235096,,diagram_snapshots/diagram_0276_p074_r3c1.png
277,74,3,2,407,602,263,259,0.203738,,diagram_snapshots/diagram_0277_p074_r3c2.png
278,74,3,3,682,602,298,259,0.205838,,diagram_snapshots/diagram_0278_p074_r3c3.png
279,74,4,1,77,873,318,335,0.278185,,diagram_snapshots/diagram_0279_p074_r4c1.png
280,74,4,2,407,873,263,335,0.310005,,diagram_snapshots/diagram_0280_p074_r4c2.png
281,74,4,3,682,873,298,335,0.380357,,diagram_snapshots/diagram_0281_p074_r4c3.png
282,76,1,1,78,203,318,395,0.203774,,diagram_snapshots/diagram_0282_p076_r1c1.png
283,76,1,2,408,203,571,395,0.161165,,diagram_snapshots/diagram_0283_p076_r1c2.png
284,76,2,1,78,610,318,245,0.308818,,diagram_snapshots/diagram_0284_p076_r2c1.png
285,76,2,2,408,610,571,245,0.299046,,diagram_snapshots/diagram_0285_p076_r2c2.png
286,76,3,1,78,867,318,332,0.307276,,diagram_snapshots/diagram_0286_p076_r3c1.png
287,76,3,2,408,867,571,332,0.219853,,diagram_snapshots/diagram_0287_p076_r3c2.png
288,77,1,1,34,197,885,977,0.133207,,diagram_snapshots/diagram_0288_p077_r1c1.png
289,78,1,1,64,196,326,76,0.07919,,diagram_snapshots/diagram_0289_p078_r1c1.png
290,78,1,2,402,196,257,76,0.155591,,diagram_snapshots/diagram_0290_p078_r1c2.png
291,78,1,3,671,196,309,76,0.045606,,diagram_snapshots/diagram_0291_p078_r1c3.png
292,78,2,1,64,284,326,307,0.140635,,diagram_snapshots/diagram_0292_p078_r2c1.png
293,78,2,2,402,284,257,307,0.157416,,diagram_snapshots/diagram_0293_p078_r2c2.png
294,78,2,3,671,284,309,307,0.107323,,diagram_snapshots/diagram_0294_p078_r2c3.png
295,78,3,1,64,603,326,256,0.142722,,diagram_snapshots/diagram_0295_p078_r3c1.png
296,78,3,2,402,603,257,256,0.1749,,diagram_snapshots/diagram_0296_p078_r3c2.png
297,78,3,3,671,603,309,256,0.17568,,diagram_snapshots/diagram_0297_p078_r3c3.png
298,78,4,1,64,871,326,334,0.157617,,diagram_snapshots/diagram_0298_p078_r4c1.png
299,78,4,2,402,871,257,334,0.145868,,diagram_snapshots/diagram_0299_p078_r4c2.png
300,78,4,3,671,871,309,334,0.25951,,diagram_snapshots/diagram_0300_p078_r4c3.png
301,79,1,1,40,206,884,972,0.144974,,diagram_snapshots/diagram_0301_p079_r1c1.png
302,80,1,1,71,202,306,387,0.125391,,diagram_snapshots/diagram_0302_p080_r1c1.png
303,80,1,2,389,202,259,387,0.190895,,diagram_snapshots/diagram_0303_p080_r1c2.png
304,80,1,3,660,202,313,387,0.126871,,diagram_snapshots/diagram_0304_p080_r1c3.png
305,80,2,1,71,601,306,252,0.186521,,diagram_snapshots/diagram_0305_p080_r2c1.png
306,80,2,2,389,601,259,252,0.110759,,diagram_snapshots/diagram_0306_p080_r2c2.png
307,80,2,3,660,601,313,252,0.150794,,diagram_snapshots/diagram_0307_p080_r2c3.png
308,80,3,1,71,865,306,331,0.194884,,diagram_snapshots/diagram_0308_p080_r3c1.png
309,80,3,2,389,865,259,331,0.190741,,diagram_snapshots/diagram_0309_p080_r3c2.png
310,80,3,3,660,865,313,331,0.151637,,diagram_snapshots/diagram_0310_p080_r3c3.png
311,81,1,1,37,220,875,954,0.062191,,diagram_snapshots/diagram_0311_p081_r1c1.png
312,82,1,1,59,193,314,75,0.101231,,diagram_snapshots/diagram_0312_p082_r1c1.png
313,82,1,2,385,193,587,75,0.122181,,diagram_snapshots/diagram_0313_p082_r1c2.png
314,82,2,1,59,280,314,300,0.14087,,diagram_snapshots/diagram_0314_p082_r2c1.png
315,82,2,2,385,280,587,300,0.150767,,diagram_snapshots/diagram_0315_p082_r2c2.png
316,82,3,1,59,592,314,597,0.230212,,diagram_snapshots/diagram_0316_p082_r3c1.png
